sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
QC_PREFA01	QC-DriftCorrection	6	B0000f_MoTrPAC_Tranche2_HumanMuscle_HP-PREFA01.raw	2024-10-01	2024-10-01	186002015_01133320818721
QC_PREFB01	QC-Pooled	7	B0000g_MoTrPAC_Tranche2_HumanMuscle_HP-PREFB01.raw	2024-10-01	2024-10-01	186002015_01133320818721
11459041003	Sample	8	B0001_MoTrPAC_Tranche2_HumanMuscle_HP-11459041003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11459011003	Sample	9	B0002_MoTrPAC_Tranche2_HumanMuscle_HP-11459011003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11717011003	Sample	10	B0003_MoTrPAC_Tranche2_HumanMuscle_HP-11717011003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11717031003	Sample	11	B0004_MoTrPAC_Tranche2_HumanMuscle_HP-11717031003.raw	2024-10-01	2024-10-01	186002015_01133320818721
12071011003	Sample	12	B0005_MoTrPAC_Tranche2_HumanMuscle_HP-12071011003.raw	2024-10-01	2024-10-01	186002015_01133320818721
12071041003	Sample	13	B0006_MoTrPAC_Tranche2_HumanMuscle_HP-12071041003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11499011003	Sample	14	B0007_MoTrPAC_Tranche2_HumanMuscle_HP-11499011003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11499041003	Sample	15	B0008_MoTrPAC_Tranche2_HumanMuscle_HP-11499041003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11499031003	Sample	16	B0009_MoTrPAC_Tranche2_HumanMuscle_HP-11499031003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11499021003	Sample	17	B0010_MoTrPAC_Tranche2_HumanMuscle_HP-11499021003.raw	2024-10-01	2024-10-01	186002015_01133320818721
12256011003	Sample	18	B0011_MoTrPAC_Tranche2_HumanMuscle_HP-12256011003.raw	2024-10-01	2024-10-01	186002015_01133320818721
12256031003	Sample	19	B0012_MoTrPAC_Tranche2_HumanMuscle_HP-12256031003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11826011003	Sample	20	B0013_MoTrPAC_Tranche2_HumanMuscle_HP-11826011003.raw	2024-10-01	2024-10-01	186002015_01133320818721
11826021003	Sample	21	B0014_MoTrPAC_Tranche2_HumanMuscle_HP-11826021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12161011003	Sample	22	B0015_MoTrPAC_Tranche2_HumanMuscle_HP-12161011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12161021003	Sample	23	B0016_MoTrPAC_Tranche2_HumanMuscle_HP-12161021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11771011003	Sample	24	B0017_MoTrPAC_Tranche2_HumanMuscle_HP-11771011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11637011003	Sample	25	B0018_MoTrPAC_Tranche2_HumanMuscle_HP-11637011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11637041003	Sample	26	B0019_MoTrPAC_Tranche2_HumanMuscle_HP-11637041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12253041003	Sample	27	B0020_MoTrPAC_Tranche2_HumanMuscle_HP-12253041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
QC_PREFA02	QC-DriftCorrection	28	B0020a_MoTrPAC_Tranche2_HumanMuscle_HP-PREFA02.raw	2024-10-01	2024-10-02	186002015_01133320818721
QC_PREFB02	QC-Pooled	29	B0020b_MoTrPAC_Tranche2_HumanMuscle_HP-PREFB02.raw	2024-10-01	2024-10-02	186002015_01133320818721
12253011003	Sample	30	B0021_MoTrPAC_Tranche2_HumanMuscle_HP-12253011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11478031003	Sample	31	B0022_MoTrPAC_Tranche2_HumanMuscle_HP-11478031003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11478011003	Sample	32	B0023_MoTrPAC_Tranche2_HumanMuscle_HP-11478011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11478041003	Sample	33	B0024_MoTrPAC_Tranche2_HumanMuscle_HP-11478041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11478021003	Sample	34	B0025_MoTrPAC_Tranche2_HumanMuscle_HP-11478021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11552041003	Sample	35	B0026_MoTrPAC_Tranche2_HumanMuscle_HP-11552041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11552011003	Sample	36	B0027_MoTrPAC_Tranche2_HumanMuscle_HP-11552011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12164021003	Sample	37	B0028_MoTrPAC_Tranche2_HumanMuscle_HP-12164021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12164011003	Sample	38	B0029_MoTrPAC_Tranche2_HumanMuscle_HP-12164011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12139011003	Sample	39	B0030_MoTrPAC_Tranche2_HumanMuscle_HP-12139011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12139021003	Sample	40	B0031_MoTrPAC_Tranche2_HumanMuscle_HP-12139021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11889011003	Sample	41	B0032_MoTrPAC_Tranche2_HumanMuscle_HP-11889011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11889041003	Sample	42	B0033_MoTrPAC_Tranche2_HumanMuscle_HP-11889041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12490011003	Sample	43	B0034_MoTrPAC_Tranche2_HumanMuscle_HP-12490011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12490041003	Sample	44	B0035_MoTrPAC_Tranche2_HumanMuscle_HP-12490041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11850021003	Sample	45	B0036_MoTrPAC_Tranche2_HumanMuscle_HP-11850021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11850041003	Sample	46	B0037_MoTrPAC_Tranche2_HumanMuscle_HP-11850041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11850011003	Sample	47	B0038_MoTrPAC_Tranche2_HumanMuscle_HP-11850011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11850031003	Sample	48	B0039_MoTrPAC_Tranche2_HumanMuscle_HP-11850031003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11440011003	Sample	49	B0040_MoTrPAC_Tranche2_HumanMuscle_HP-11440011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
QC_PREFA03	QC-DriftCorrection	50	B0040a_MoTrPAC_Tranche2_HumanMuscle_HP-PREFA03.raw	2024-10-01	2024-10-02	186002015_01133320818721
QC_PREFB03	QC-Pooled	51	B0040b_MoTrPAC_Tranche2_HumanMuscle_HP-PREFB03.raw	2024-10-01	2024-10-02	186002015_01133320818721
11440041003	Sample	52	B0041_MoTrPAC_Tranche2_HumanMuscle_HP-11440041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11440021003	Sample	53	B0042_MoTrPAC_Tranche2_HumanMuscle_HP-11440021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11440031003	Sample	54	B0043_MoTrPAC_Tranche2_HumanMuscle_HP-11440031003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11707021003	Sample	55	B0044_MoTrPAC_Tranche2_HumanMuscle_HP-11707021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11707041003	Sample	56	B0045_MoTrPAC_Tranche2_HumanMuscle_HP-11707041003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11707031003	Sample	57	B0046_MoTrPAC_Tranche2_HumanMuscle_HP-11707031003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11707011003	Sample	58	B0047_MoTrPAC_Tranche2_HumanMuscle_HP-11707011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11821021003	Sample	59	B0048_MoTrPAC_Tranche2_HumanMuscle_HP-11821021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11821011003	Sample	60	B0049_MoTrPAC_Tranche2_HumanMuscle_HP-11821011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11952021003	Sample	61	B0050_MoTrPAC_Tranche2_HumanMuscle_HP-11952021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11952011003	Sample	62	B0051_MoTrPAC_Tranche2_HumanMuscle_HP-11952011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11881011003	Sample	63	B0052_MoTrPAC_Tranche2_HumanMuscle_HP-11881011003.raw	2024-10-01	2024-10-02	186002015_01133320818721
11881021003	Sample	64	B0053_MoTrPAC_Tranche2_HumanMuscle_HP-11881021003.raw	2024-10-01	2024-10-02	186002015_01133320818721
12213011003	Sample	65	B0054_MoTrPAC_Tranche2_HumanMuscle_HP-12213011003.raw	2024-10-01	2024-10-03	186002015_01133320818721
12213041003	Sample	66	B0055_MoTrPAC_Tranche2_HumanMuscle_HP-12213041003.raw	2024-10-01	2024-10-03	186002015_01133320818721
11611011003	Sample	67	B0056_MoTrPAC_Tranche2_HumanMuscle_HP-11611011003.raw	2024-10-01	2024-10-03	186002015_01133320818721
11611031003	Sample	68	B0057_MoTrPAC_Tranche2_HumanMuscle_HP-11611031003.raw	2024-10-01	2024-10-03	186002015_01133320818721
11381041003	Sample	69	B0058_MoTrPAC_Tranche2_HumanMuscle_HP-11381041003.raw	2024-10-01	2024-10-03	186002015_01133320818721
11381021003	Sample	70	B0059_MoTrPAC_Tranche2_HumanMuscle_HP-11381021003.raw	2024-10-01	2024-10-03	186002015_01133320818721
11381031003	Sample	71	B0060_MoTrPAC_Tranche2_HumanMuscle_HP-11381031003.raw	2024-10-01	2024-10-03	186002015_01133320818721
