metabolite_name	rt	mz
Broad_HP_mz186.1123_rt9.2	9.19999999999999	186.112288199999
Broad_HP_mz284.1855_rt7.46	7.46	284.1855304
Broad_HP_mz142.0861_rt7.45	7.45	142.086148
Broad_HP_mz450.3211_rt3.99	3.99	450.3210551
Broad_HP_mz330.2096_rt1.43	1.43	330.2095633
Broad_HP_mz504.3199_rt1.46	1.46	504.319937299999
Broad_HP_mz316.194_rt1.44	1.44	316.1939636
Broad_HP_mz213.0327_rt1.48	1.48	213.0326508
Broad_HP_mz778.6908_rt1.54	1.54	778.6908057
Broad_HP_mz504.3198_rt1.54	1.54	504.3197508
Broad_HP_mz577.519_rt1.53	1.53	577.519038799999
Broad_HP_mz722.6282_rt1.53	1.53	722.6282122
Broad_HP_mz746.6289_rt1.57	1.57	746.628899599999
Broad_HP_mz694.5972_rt1.57	1.57	694.5972007
Broad_HP_mz708.6133_rt1.57	1.57	708.6132569
Broad_HP_mz738.6602_rt1.58	1.58	738.660227699999
Broad_HP_mz774.2524_rt1.58	1.58	774.252374
Broad_HP_mz790.6555_rt1.57	1.57	790.6554895
Broad_HP_mz197.0806_rt1.56	1.56	197.0805962
Broad_HP_mz600.5197_rt1.6	1.6	600.5196855
Broad_HP_mz668.5817_rt1.57	1.57	668.5817481
Broad_HP_mz680.5818_rt1.57	1.57	680.581846499999
Broad_HP_mz696.5926_rt1.56	1.56	696.5925965
Broad_HP_mz698.5928_rt1.57	1.57	698.592811699999
Broad_HP_mz710.6291_rt1.57	1.57	710.629056399999
Broad_HP_mz714.587_rt1.6	1.6	714.587011999999
Broad_HP_mz740.6391_rt1.58	1.58	740.6391376
Broad_HP_mz744.5922_rt1.58	1.58	744.592168
Broad_HP_mz752.6394_rt1.58	1.58	752.6393792
Broad_HP_mz764.6403_rt1.6	1.6	764.6402665
Broad_HP_mz766.6554_rt1.57	1.57	766.655362599999
Broad_HP_mz776.6392_rt1.57	1.57	776.639195999999
Broad_HP_mz778.6189_rt1.59	1.59	778.6189427
Broad_HP_mz780.67_rt1.58	1.58	780.6699972
Broad_HP_mz797.5749_rt1.59	1.59	797.574880499999
Broad_HP_mz598.5401_rt1.59	1.59	598.5400611
Broad_HP_mz612.556_rt1.6	1.6	612.555960199999
Broad_HP_mz662.5716_rt1.6	1.6	662.5715533
Broad_HP_mz672.5398_rt1.6	1.6	672.539795
Broad_HP_mz682.5977_rt1.56	1.56	682.5977473
Broad_HP_mz758.2211_rt1.59	1.59	758.221121599999
Broad_HP_mz768.6342_rt1.61	1.61	768.634247999999
Broad_HP_mz563.4665_rt1.6	1.6	563.466492099999
Broad_HP_mz564.4288_rt1.6	1.6	564.428810799999
Broad_HP_mz584.5245_rt1.6	1.6	584.52453
Broad_HP_mz626.5349_rt1.61	1.61	626.534883
Broad_HP_mz647.458_rt1.6	1.6	647.457966199999
Broad_HP_mz652.5505_rt1.6	1.6	652.550514099999
Broad_HP_mz654.5662_rt1.6	1.6	654.5662363
Broad_HP_mz684.2023_rt1.6	1.6	684.2023322
Broad_HP_mz690.5427_rt1.59	1.59	690.542652299999
Broad_HP_mz724.6079_rt1.6	1.6	724.607913
Broad_HP_mz506.4716_rt1.61	1.61	506.4716022
Broad_HP_mz520.4874_rt1.61	1.61	520.4873581
Broad_HP_mz610.1836_rt1.61	1.61	610.1835657
Broad_HP_mz670.4672_rt1.62	1.62	670.467215
Broad_HP_mz680.4796_rt1.61	1.61	680.479618299999
Broad_HP_mz708.5111_rt1.61	1.61	708.5111053
Broad_HP_mz736.5422_rt1.6	1.6	736.5421985
Broad_HP_mz522.4667_rt1.62	1.62	522.4667464
Broad_HP_mz702.213_rt1.62	1.62	702.212980399999
Broad_HP_mz410.3412_rt1.63	1.63	410.341239299999
Broad_HP_mz422.3778_rt1.62	1.62	422.3778183
Broad_HP_mz428.3074_rt1.63	1.63	428.3073863
Broad_HP_mz466.404_rt1.62	1.62	466.4039669
Broad_HP_mz396.353_rt1.63	1.63	396.3530003
Broad_HP_mz424.357_rt1.63	1.63	424.356972699999
Broad_HP_mz522.4304_rt1.63	1.63	522.4303658
Broad_HP_mz628.1942_rt1.63	1.63	628.194178599999
Broad_HP_mz338.284_rt1.65	1.65	338.283965599999
Broad_HP_mz420.2681_rt1.65	1.65	420.268109499999
Broad_HP_mz423.3493_rt1.64	1.64	423.3493353
Broad_HP_mz478.3101_rt1.64	1.64	478.3101424
Broad_HP_mz503.4481_rt1.63	1.63	503.44812
Broad_HP_mz654.3314_rt1.65	1.65	654.331397799999
Broad_HP_mz764.6547_rt1.63	1.63	764.654722399999
Broad_HP_mz371.3152_rt1.66	1.66	371.315178699999
Broad_HP_mz391.284_rt1.66	1.66	391.2839569
Broad_HP_mz408.2592_rt1.65	1.65	408.2592028
Broad_HP_mz422.2477_rt1.65	1.65	422.247721099999
Broad_HP_mz436.2632_rt1.65	1.65	436.263230099999
Broad_HP_mz480.4196_rt1.66	1.66	480.4196365
Broad_HP_mz554.1755_rt1.66	1.66	554.1754752
Broad_HP_mz354.279_rt1.66	1.66	354.2790213
Broad_HP_mz445.3673_rt1.68	1.68	445.3673238
Broad_HP_mz548.3004_rt1.67	1.67	548.300407999999
Broad_HP_mz688.4991_rt1.66	1.66	688.499094399999
Broad_HP_mz716.4004_rt1.66	1.66	716.400363599999
Broad_HP_mz282.2214_rt1.67	1.67	282.221414499999
Broad_HP_mz312.232_rt1.68	1.68	312.231985599999
Broad_HP_mz403.2323_rt1.69	1.69	403.2322876
Broad_HP_mz438.3364_rt1.67	1.67	438.336378599999
Broad_HP_mz448.3627_rt1.67	1.67	448.362688199999
Broad_HP_mz463.1303_rt1.68	1.68	463.1302575
Broad_HP_mz479.3727_rt1.67	1.67	479.3726638
Broad_HP_mz672.5036_rt1.66	1.66	672.503637899999
Broad_HP_mz674.4833_rt1.67	1.67	674.4832651
Broad_HP_mz359.2789_rt1.69	1.69	359.2789406
Broad_HP_mz376.3054_rt1.69	1.69	376.305383
Broad_HP_mz404.3364_rt1.69	1.69	404.3363683
Broad_HP_mz420.3317_rt1.71	1.71	420.3316831
Broad_HP_mz614.5354_rt1.7	1.7	614.5353685
Broad_HP_mz656.5091_rt1.63	1.63	656.5090606
Broad_HP_mz431.3517_rt1.7	1.7	431.351657699999
Broad_HP_mz544.4206_rt1.7	1.7	544.420612499999
Broad_HP_mz564.2952_rt1.7	1.7	564.295218699999
Broad_HP_mz612.5195_rt1.68	1.68	612.519543
Broad_HP_mz702.4785_rt1.7	1.7	702.478474499999
Broad_HP_mz714.5148_rt1.69	1.69	714.514761199999
Broad_HP_mz450.2425_rt1.7	1.7	450.242503399999
Broad_HP_mz658.4885_rt1.7	1.7	658.4885087
Broad_HP_mz688.5354_rt1.69	1.69	688.5354343
Broad_HP_mz361.2219_rt1.7	1.7	361.2218843
Broad_HP_mz368.2946_rt1.71	1.71	368.2945606
Broad_HP_mz426.3366_rt1.72	1.72	426.3365731
Broad_HP_mz450.204_rt1.71	1.71	450.2039884
Broad_HP_mz460.4145_rt1.71	1.71	460.414475799999
Broad_HP_mz504.3892_rt1.71	1.71	504.389178
Broad_HP_mz518.4049_rt1.7	1.7	518.404873599999
Broad_HP_mz590.499_rt1.73	1.73	590.4989844
Broad_HP_mz660.5042_rt1.72	1.72	660.504163999999
Broad_HP_mz664.5354_rt1.71	1.71	664.5353979
Broad_HP_mz170.0963_rt1.73	1.73	170.0962567
Broad_HP_mz343.1539_rt1.72	1.72	343.153862
Broad_HP_mz586.3372_rt1.73	1.73	586.337248599999
Broad_HP_mz628.4777_rt1.62	1.62	628.477691499999
Broad_HP_mz347.2425_rt1.73	1.73	347.2424747
Broad_HP_mz441.3208_rt1.73	1.73	441.3208473
Broad_HP_mz560.4154_rt1.72	1.72	560.4154273
Broad_HP_mz572.3792_rt1.73	1.73	572.379160299999
Broad_HP_mz149.0596_rt1.77	1.77	149.0595668
Broad_HP_mz279.2317_rt1.72	1.72	279.2316968
Broad_HP_mz295.2266_rt1.81	1.81	295.2265879
Broad_HP_mz297.2422_rt1.75	1.75	297.2422412
Broad_HP_mz531.4075_rt1.73	1.73	531.407475299999
Broad_HP_mz546.2697_rt1.74	1.74	546.2696567
Broad_HP_mz546.3636_rt1.86	1.86	546.363634899999
Broad_HP_mz558.3997_rt1.68	1.68	558.3996578
Broad_HP_mz342.2426_rt1.77	1.77	342.2425936
Broad_HP_mz463.378_rt1.7	1.7	463.3779619
Broad_HP_mz594.1605_rt1.75	1.75	594.1604585
Broad_HP_mz646.4885_rt1.73	1.73	646.488549899999
Broad_HP_mz457.2768_rt1.78	1.78	457.276844299999
Broad_HP_mz223.9882_rt1.77	1.77	223.9882061
Broad_HP_mz371.358_rt1.77	1.77	371.357971
Broad_HP_mz480.3893_rt1.85	1.85	480.3892733
Broad_HP_mz604.3691_rt1.74	1.74	604.3691043
Broad_HP_mz708.5619_rt1.8	1.8	708.5618855
Broad_HP_mz315.1953_rt1.77	1.77	315.195275299999
Broad_HP_mz409.3308_rt1.79	1.79	409.330779199999
Broad_HP_mz674.6443_rt1.79	1.79	674.6443116
Broad_HP_mz293.211_rt1.81	1.81	293.210962499999
Broad_HP_mz365.2077_rt1.8	1.8	365.207732599999
Broad_HP_mz460.3995_rt1.8	1.8	460.3994968
Broad_HP_mz466.3736_rt1.84	1.84	466.373596
Broad_HP_mz255.1953_rt1.81	1.81	255.195263899999
Broad_HP_mz277.128_rt1.81	1.81	277.128002299999
Broad_HP_mz280.2634_rt1.8	1.8	280.2633541
Broad_HP_mz522.2379_rt1.83	1.83	522.2378584
Broad_HP_mz532.254_rt1.81	1.81	532.2540149
Broad_HP_mz283.1902_rt1.82	1.82	283.1902321
