sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
QC_PREFA01	QC-DriftCorrection	14	B0000n_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA01.raw	2025-03-13	2025-03-13	186002015_01143426718802
QC_PREFB01	QC-Pooled	15	B0000o_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB01.raw	2025-03-13	2025-03-13	186002015_01143426718802
11118011003	Sample	16	B0001_MoTrPAC_Tranche4_HumanMuscle_HP-11118011003.raw	2025-03-13	2025-03-13	186002015_01143426718802
12420041003	Sample	17	B0002_MoTrPAC_Tranche4_HumanMuscle_HP-12420041003.raw	2025-03-13	2025-03-13	186002015_01143426718802
12420011003	Sample	18	B0003_MoTrPAC_Tranche4_HumanMuscle_HP-12420011003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13651041003	Sample	19	B0004_MoTrPAC_Tranche4_HumanMuscle_HP-13651041003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13651021003	Sample	20	B0005_MoTrPAC_Tranche4_HumanMuscle_HP-13651021003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13651031003	Sample	21	B0006_MoTrPAC_Tranche4_HumanMuscle_HP-13651031003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13651011003	Sample	22	B0007_MoTrPAC_Tranche4_HumanMuscle_HP-13651011003.raw	2025-03-13	2025-03-13	186002015_01143426718802
12611011003	Sample	23	B0008_MoTrPAC_Tranche4_HumanMuscle_HP-12611011003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13462031003	Sample	24	B0009_MoTrPAC_Tranche4_HumanMuscle_HP-13462031003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13462041003	Sample	25	B0010_MoTrPAC_Tranche4_HumanMuscle_HP-13462041003.raw	2025-03-13	2025-03-13	186002015_01143426718802
13462021003	Sample	26	B0011_MoTrPAC_Tranche4_HumanMuscle_HP-13462021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13462011003	Sample	27	B0012_MoTrPAC_Tranche4_HumanMuscle_HP-13462011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13010011003	Sample	28	B0013_MoTrPAC_Tranche4_HumanMuscle_HP-13010011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13760011003	Sample	29	B0014_MoTrPAC_Tranche4_HumanMuscle_HP-13760011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13964021003	Sample	30	B0015_MoTrPAC_Tranche4_HumanMuscle_HP-13964021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13163011003	Sample	31	B0016_MoTrPAC_Tranche4_HumanMuscle_HP-13163011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13163031003	Sample	32	B0017_MoTrPAC_Tranche4_HumanMuscle_HP-13163031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12691011003	Sample	33	B0018_MoTrPAC_Tranche4_HumanMuscle_HP-12691011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12691031003	Sample	34	B0019_MoTrPAC_Tranche4_HumanMuscle_HP-12691031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12601011003	Sample	35	B0020_MoTrPAC_Tranche4_HumanMuscle_HP-12601011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
QC_PREFA02	QC-DriftCorrection	36	B0020a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA02.raw	2025-03-13	2025-03-14	186002015_01143426718802
QC_PREFB02	QC-Pooled	37	B0020b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB02.raw	2025-03-13	2025-03-14	186002015_01143426718802
12515041003	Sample	38	B0021_MoTrPAC_Tranche4_HumanMuscle_HP-12515041003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12515011003	Sample	39	B0022_MoTrPAC_Tranche4_HumanMuscle_HP-12515011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
